epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7356.41,1.55005,2.023,1.68283,0.40237,0.27472,0.2314,0.13322,1.80128,2.16613,1.95598,0.004126,0.004126,0.004126
91,7438.02,1.54224,2.02127,1.67951,0.4038,0.27522,0.23242,0.1336,1.79954,2.16186,1.95327,0.00406,0.00406,0.00406
92,7519.55,1.53695,2.0105,1.67858,0.40603,0.27537,0.23336,0.13423,1.79761,2.15771,1.95112,0.003994,0.003994,0.003994
93,7601.13,1.54456,2.00684,1.68465,0.40591,0.27494,0.23316,0.13473,1.79732,2.15356,1.95009,0.003928,0.003928,0.003928
94,7682.64,1.5334,1.99918,1.67225,0.40584,0.27818,0.23332,0.13538,1.79601,2.15022,1.94907,0.003862,0.003862,0.003862
95,7764.16,1.52893,1.99278,1.67136,0.40317,0.28043,0.23371,0.13566,1.79469,2.14785,1.94786,0.003796,0.003796,0.003796
96,7845.75,1.52881,1.99614,1.66953,0.40538,0.27898,0.23488,0.13596,1.79353,2.14595,1.94579,0.00373,0.00373,0.00373
97,7927.39,1.52951,1.98664,1.66821,0.4027,0.28003,0.23444,0.13591,1.79247,2.1445,1.94508,0.003664,0.003664,0.003664
98,8008.91,1.52177,1.98119,1.66423,0.40047,0.28134,0.23474,0.13609,1.79168,2.14224,1.94412,0.003598,0.003598,0.003598
99,8090.51,1.52515,1.97616,1.665,0.40046,0.2811,0.23529,0.137,1.79075,2.14037,1.9428,0.003532,0.003532,0.003532
100,8172.02,1.52767,1.98346,1.66735,0.39894,0.28258,0.23634,0.13733,1.79051,2.1371,1.94208,0.003466,0.003466,0.003466
101,8253.39,1.51935,1.97092,1.65862,0.40004,0.28341,0.23739,0.1383,1.78992,2.13514,1.94118,0.0034,0.0034,0.0034
102,8334.93,1.51662,1.97057,1.65649,0.40201,0.28291,0.23845,0.13869,1.78883,2.13185,1.94025,0.003334,0.003334,0.003334
103,8416.42,1.51821,1.96587,1.65945,0.40849,0.28451,0.24428,0.14028,1.78637,2.12781,1.93885,0.003268,0.003268,0.003268
104,8497.66,1.51099,1.96006,1.6543,0.40727,0.28363,0.24436,0.14032,1.78485,2.12492,1.93767,0.003202,0.003202,0.003202
105,8579.2,1.50531,1.94502,1.64963,0.40867,0.28374,0.24532,0.14094,1.78428,2.12226,1.93697,0.003136,0.003136,0.003136
106,8660.53,1.50812,1.94832,1.64916,0.41052,0.28395,0.246,0.14156,1.7831,2.11914,1.93578,0.00307,0.00307,0.00307
107,8742.05,1.50527,1.93785,1.64696,0.40961,0.28424,0.24645,0.14143,1.78095,2.11639,1.93361,0.003004,0.003004,0.003004
108,8823.56,1.50417,1.9373,1.64472,0.41146,0.28466,0.24724,0.14202,1.77955,2.11385,1.93206,0.002938,0.002938,0.002938
109,8905.06,1.50018,1.93588,1.64206,0.41162,0.28465,0.24804,0.1423,1.77865,2.11136,1.93117,0.002872,0.002872,0.002872
