epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
91,35741.2,0.62115,0.671,0.31741,0.4028,0.30508,0.29634,0.15776,0.7074,0.74685,0.58569,0.00406,0.00406,0.00406
92,36282.8,0.665,0.6593,0.33051,0.405,0.30537,0.29801,0.15862,0.70846,0.74411,0.58566,0.003994,0.003994,0.003994
93,36824.3,0.64333,0.66008,0.32264,0.3909,0.31333,0.29962,0.15929,0.70835,0.74258,0.58694,0.003928,0.003928,0.003928
94,37366,0.67699,0.64919,0.33717,0.40476,0.30809,0.29927,0.15921,0.7092,0.73974,0.59149,0.003862,0.003862,0.003862
95,37907.4,0.64634,0.65652,0.3284,0.3641,0.34356,0.29987,0.15892,0.71019,0.73914,0.59162,0.003796,0.003796,0.003796
96,38449,0.62332,0.65826,0.31497,0.37878,0.34317,0.3013,0.1597,0.70909,0.7396,0.59165,0.00373,0.00373,0.00373
97,38990.7,0.6585,0.64712,0.3281,0.40071,0.33424,0.29963,0.15864,0.712,0.73546,0.59503,0.003664,0.003664,0.003664
98,39532.9,0.65757,0.64209,0.32562,0.41215,0.33277,0.30007,0.15928,0.71194,0.73442,0.59603,0.003598,0.003598,0.003598
99,40074.3,0.5821,0.65897,0.29757,0.42177,0.32814,0.30128,0.15933,0.7136,0.73146,0.59819,0.003532,0.003532,0.003532
100,40615.6,0.59532,0.65374,0.30293,0.41504,0.3299,0.30171,0.15969,0.71455,0.72994,0.59994,0.003466,0.003466,0.003466
101,41157.2,0.61149,0.65175,0.30891,0.41206,0.32986,0.30282,0.16106,0.71706,0.72702,0.60196,0.0034,0.0034,0.0034
102,41698.8,0.62027,0.64162,0.31604,0.42777,0.32444,0.30431,0.1609,0.71886,0.72457,0.6031,0.003334,0.003334,0.003334
103,42240.4,0.65569,0.63526,0.33336,0.41166,0.33084,0.30492,0.16065,0.71947,0.72455,0.60301,0.003268,0.003268,0.003268
104,42782.4,0.66337,0.63355,0.33168,0.41884,0.33296,0.30655,0.16171,0.72117,0.72032,0.60584,0.003202,0.003202,0.003202
105,43324.3,0.67376,0.62357,0.33445,0.41879,0.33377,0.30702,0.1621,0.72164,0.71805,0.61069,0.003136,0.003136,0.003136
106,43866.4,0.65486,0.63041,0.32748,0.42987,0.32548,0.30516,0.16164,0.72303,0.71714,0.60988,0.00307,0.00307,0.00307
107,44407.9,0.60395,0.63749,0.3046,0.42406,0.32624,0.30459,0.16132,0.72362,0.71609,0.61215,0.003004,0.003004,0.003004
108,44949.1,0.56045,0.64581,0.28656,0.42567,0.32847,0.30613,0.16284,0.72445,0.71422,0.61281,0.002938,0.002938,0.002938
109,45490.9,0.64687,0.62107,0.31701,0.41209,0.33519,0.30718,0.16376,0.72297,0.71343,0.61621,0.002872,0.002872,0.002872
110,46032.8,0.6824,0.60797,0.33093,0.41489,0.33477,0.30696,0.1641,0.7251,0.71008,0.61882,0.002806,0.002806,0.002806
111,46574.3,0.6344,0.61969,0.30945,0.41704,0.33232,0.3059,0.16332,0.72424,0.71134,0.6212,0.00274,0.00274,0.00274
112,47115.9,0.6157,0.61743,0.29843,0.41337,0.33555,0.30565,0.16265,0.72741,0.70884,0.6226,0.002674,0.002674,0.002674
113,47657.4,0.56516,0.62208,0.28022,0.41407,0.33429,0.30854,0.16318,0.73022,0.70685,0.62584,0.002608,0.002608,0.002608
114,48199,0.55476,0.62101,0.27704,0.42009,0.34073,0.30909,0.16297,0.73152,0.70688,0.62896,0.002542,0.002542,0.002542
115,48740.5,0.54828,0.62035,0.27243,0.41987,0.34675,0.30867,0.16287,0.73214,0.70635,0.63038,0.002476,0.002476,0.002476
116,49282.3,0.53804,0.6201,0.27144,0.42241,0.34413,0.30993,0.16492,0.73155,0.70647,0.62934,0.00241,0.00241,0.00241
117,49823.8,0.53889,0.61664,0.27119,0.42362,0.34511,0.31064,0.16494,0.73361,0.70274,0.63448,0.002344,0.002344,0.002344
118,50365.2,0.53669,0.61407,0.26899,0.42724,0.34425,0.31201,0.16591,0.73254,0.70335,0.63444,0.002278,0.002278,0.002278
119,50906.4,0.534,0.60843,0.26676,0.4277,0.34308,0.31289,0.16595,0.73238,0.70494,0.63573,0.002212,0.002212,0.002212
120,51447.9,0.54306,0.60338,0.2661,0.42554,0.33951,0.31228,0.16639,0.73404,0.70464,0.63884,0.002146,0.002146,0.002146
121,51989.8,0.61852,0.59057,0.28837,0.42441,0.34085,0.31198,0.16648,0.73402,0.70529,0.64097,0.00208,0.00208,0.00208
122,52531.4,0.5254,0.59971,0.26034,0.42565,0.34473,0.31236,0.16672,0.73383,0.70242,0.64363,0.002014,0.002014,0.002014
123,53072.6,0.52179,0.59947,0.2583,0.43094,0.33881,0.31321,0.16722,0.73421,0.70233,0.64348,0.001948,0.001948,0.001948
124,53614.2,0.5222,0.59306,0.25639,0.4356,0.33854,0.3142,0.16787,0.73568,0.70142,0.64428,0.001882,0.001882,0.001882
125,54155.4,0.51033,0.59375,0.25411,0.42267,0.34273,0.31298,0.16776,0.73715,0.69817,0.64873,0.001816,0.001816,0.001816
126,54697,0.51181,0.59075,0.25318,0.42766,0.34179,0.31248,0.16772,0.73841,0.699,0.65033,0.00175,0.00175,0.00175
127,55238.5,0.50383,0.58974,0.25033,0.42196,0.34284,0.31294,0.1679,0.73936,0.69968,0.65074,0.001684,0.001684,0.001684
128,55779.7,0.50375,0.58667,0.24927,0.42537,0.34263,0.31282,0.16847,0.74198,0.69672,0.65149,0.001618,0.001618,0.001618
129,56321.6,0.5533,0.57485,0.26359,0.44464,0.33343,0.31396,0.16867,0.74549,0.69279,0.65406,0.001552,0.001552,0.001552
130,56864,0.58185,0.56116,0.27058,0.45422,0.32858,0.31398,0.16862,0.7482,0.68885,0.65873,0.001486,0.001486,0.001486
131,57406.4,0.61221,0.55824,0.28146,0.46943,0.33019,0.31666,0.16904,0.75104,0.68747,0.66241,0.00142,0.00142,0.00142
132,57948.3,0.50556,0.56889,0.24633,0.47633,0.33034,0.31648,0.16957,0.75312,0.68495,0.6672,0.001354,0.001354,0.001354
